,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
240,241,Grand Canyon,WAC,15-15,-6.04,105.3,111.3,65.4,+.046,-3.21,102.4,105.6,+3.16
241,242,Lehigh,Pat,14-18,-6.06,98.0,104.1,64.3,+.031,-3.26,104.3,107.6,-2.97
242,243,East Tennessee St.,ASun,19-16,-6.16,103.5,109.6,68.6,+.018,-7.75,101.5,109.2,-5.52
243,244,Florida Atlantic,CUSA,10-22,-6.40,101.1,107.5,63.0,-.085,-1.01,104.4,105.4,+1.13
244,245,Lafayette,Pat,11-20,-6.43,109.3,115.7,64.6,-.051,-2.16,102.5,104.6,+0.63
245,246,Loyola Chicago,MVC,10-22,-6.47,102.2,108.7,61.9,-.073,-1.78,104.0,105.8,-8.54
246,247,Gardner Webb,BSth,18-15,-6.59,99.0,105.6,64.8,+.005,-7.75,102.8,110.5,-1.21
247,248,High Point 8,BSth,16-15,-6.63,106.0,112.6,62.7,+.061,-4.96,103.9,108.9,+4.54
248,249,Cal St. Fullerton,BW,11-20,-6.64,100.9,107.5,65.5,-.021,-1.70,104.1,105.8,-1.50
249,250,Troy,SB,11-20,-6.82,101.9,108.8,63.3,-.085,-2.94,102.9,105.9,-3.29
250,251,Louisiana Monroe,SB,10-17,-7.00,97.5,104.5,61.8,-.012,+0.70,105.7,105.0,+12.24
251,252,Air Force,MWC,12-18,-7.00,99.6,106.6,63.6,+.056,+0.57,105.4,104.8,-9.12
252,253,South Alabama,SB,11-20,-7.06,101.1,108.1,64.5,-.047,-0.08,104.1,104.2,+5.58
253,254,Idaho,WAC,16-18,-7.12,105.4,112.5,65.6,+.078,-4.40,103.2,107.6,-2.36
254,255,South Dakota,Sum,12-18,-7.13,101.7,108.9,65.5,+.024,+0.55,105.8,105.2,+3.40
255,256,Radford,BSth,22-13,-7.36,106.9,114.3,66.5,+.084,-8.98,101.5,110.5,-6.30
256,257,Penn,Ivy,8-20,-7.46,99.1,106.6,68.2,-.013,+0.58,105.4,104.8,+0.94
257,258,Norfolk St.,MEAC,19-15,-7.48,102.9,110.3,62.7,+.042,-7.58,100.5,108.1,-0.13
258,259,Texas Southern 16,SWAC,19-15,-7.49,106.7,114.1,65.7,-.004,-11.11,97.6,108.8,+2.72
259,260,Idaho St.,BSky,11-18,-7.58,104.0,111.6,63.0,-.091,-5.87,103.5,109.3,+6.90
260,261,Incarnate Word,Slnd,21-6,-7.59,102.7,110.3,68.7,+.015,-11.99,99.5,111.5,-1.04
261,262,Northern Arizona,BSky,15-17,-7.72,100.4,108.1,62.3,+.003,-5.81,103.9,109.7,+2.57
262,263,North Florida,ASun,16-16,-7.75,103.3,111.1,66.7,+.089,-3.74,102.3,106.1,+7.46
263,264,North Dakota,BSky,17-17,-7.79,104.3,112.1,67.9,+.063,-4.79,104.0,108.7,+7.80
264,265,Lipscomb,ASun,15-15,-8.04,103.4,111.5,68.6,+.086,-5.02,103.7,108.7,+2.26
265,266,Hofstra,CAA,10-23,-8.14,105.1,113.2,63.8,-.036,-2.08,103.7,105.8,-2.11
266,267,James Madison,CAA,11-20,-8.25,98.5,106.8,63.5,+.048,-1.09,104.1,105.2,-0.48
267,268,Tennessee Tech,OVC,17-16,-8.28,100.2,108.5,66.2,+.092,-4.90,103.9,108.8,-2.84
268,269,Monmouth,MAAC,11-21,-8.45,96.8,105.3,66.6,-.033,-2.91,103.8,106.7,-6.43
269,270,Niagara,MAAC,7-26,-8.75,101.9,110.7,70.6,-.025,-0.51,105.3,105.8,+0.88
270,271,Fairfield,MAAC,7-25,-8.84,95.6,104.5,64.5,-.019,-0.21,105.2,105.4,+2.91
271,272,UMKC,WAC,10-20,-8.94,98.4,107.4,68.3,+.017,-2.53,104.4,106.9,+3.16
272,273,UC Riverside,BW,10-21,-9.00,98.7,107.7,65.8,-.049,-3.15,103.2,106.4,-5.99
273,274,Western Illinois,Sum,10-20,-9.06,94.1,103.2,60.9,-.068,-1.33,105.8,107.2,-1.54
274,275,Illinois Chicago,Horz,6-25,-9.07,100.4,109.5,64.5,-.113,+1.30,105.0,103.7,+0.88
275,276,Sacramento St.,BSky,14-16,-9.33,103.4,112.8,62.8,-.008,-7.04,102.6,109.6,+1.19
276,277,Texas St.,SB,8-23,-9.41,94.9,104.3,61.1,-.114,-1.35,105.3,106.7,+0.76
277,278,Portland St.,BSky,17-15,-9.47,102.3,111.7,64.9,+.063,-8.07,102.8,110.9,-6.33
278,279,Chattanooga,SC,18-15,-9.48,100.6,110.1,66.8,+.054,-9.02,101.1,110.2,-3.00
279,280,UNC Wilmington,CAA,9-23,-9.67,96.0,105.7,62.2,-.043,+0.03,106.1,106.1,+3.52
280,281,Savannah St.,MEAC,13-19,-9.93,91.7,101.6,63.0,-.038,-6.57,101.3,107.9,+8.62
281,282,Fairleigh Dickinson,NEC,10-21,-10.57,102.2,112.8,65.0,-.017,-3.00,103.7,106.7,+4.97
282,283,Liberty,BSth,11-21,-11.25,101.3,112.6,62.8,-.129,-7.85,102.4,110.2,-3.44
283,284,Chicago St.,WAC,13-19,-11.26,98.1,109.4,67.8,+.069,-2.57,103.3,105.9,+2.79
284,285,Tulane,CUSA,17-17,-11.41,99.7,111.1,61.9,+.143,-3.78,102.1,105.9,-8.80
285,286,Central Michigan,MAC,10-21,-11.43,106.3,117.7,63.7,+.004,-3.18,102.0,105.2,-7.84
286,287,Austin Peay,OVC,12-18,-11.64,99.6,111.2,68.9,+.012,-6.73,103.9,110.6,-5.37
287,288,Tennessee St.,OVC,5-25,-11.71,101.9,113.6,63.2,-.050,-1.30,105.3,106.6,+4.89
288,289,San Jose St.,MWC,7-24,-11.75,94.5,106.3,64.1,-.004,+3.90,107.6,103.7,-0.32
289,290,SIU Edwardsville,OVC,11-20,-11.94,100.6,112.5,65.4,-.004,-6.21,103.6,109.8,-3.76
290,291,Georgia Southern,SC,15-19,-12.09,98.3,110.4,64.8,-.040,-9.45,100.6,110.1,-5.55
291,292,Loyola MD,Pat,11-19,-12.17,97.1,109.3,64.6,+.063,-2.84,103.7,106.5,-0.51
292,293,Coppin St.,MEAC,12-20,-12.31,100.3,112.6,66.8,+.007,-5.44,101.4,106.8,+6.86
293,294,Jackson St.,SWAC,11-20,-12.63,93.7,106.3,65.0,-.043,-9.04,99.7,108.7,+3.89
294,295,Texas Pan American,WAC,9-23,-12.80,93.7,106.5,64.1,-.032,-4.72,103.1,107.8,-3.62
295,296,Ball St.,MAC,5-25,-13.09,96.5,109.6,65.9,-.022,+1.59,105.1,103.5,+4.95
296,297,Florida A&M,MEAC,14-18,-13.19,94.9,108.1,70.0,+.050,-8.01,99.8,107.9,-0.98
297,298,Alabama St.,SWAC,19-13,-13.22,97.3,110.5,65.9,+.096,-12.01,97.5,109.5,-4.44
298,299,Rice,CUSA,7-23,-13.23,94.7,107.9,62.4,-.007,-0.68,103.9,104.5,-0.46
299,300,Eastern Illinois,OVC,11-19,-13.28,98.7,112.0,64.2,+.030,-4.08,104.1,108.2,+1.26
300,301,Sacred Heart,NEC,5-26,-13.40,99.3,112.7,65.9,-.093,-4.78,102.8,107.6,-2.22
301,302,Montana St.,BSky,14-17,-13.51,95.0,108.5,63.9,+.056,-7.16,103.3,110.5,-2.84
302,303,Jacksonville,ASun,12-18,-13.55,103.2,116.8,67.8,+.028,-5.75,102.2,108.0,-1.35
303,304,Nicholls St.,Slnd,14-15,-13.64,98.0,111.6,63.6,+.109,-8.13,101.6,109.7,+3.55
304,305,Central Connecticut,NEC,11-19,-13.65,97.4,111.1,68.4,+.071,-5.85,101.2,107.1,-2.52
305,306,Alabama A&M,SWAC,14-16,-13.83,92.0,105.8,64.3,+.025,-10.94,98.7,109.7,+4.90
306,307,NJIT,ind,13-16,-13.86,96.6,110.5,66.5,+.055,-7.49,101.4,108.9,-7.49
307,308,Navy,Pat,9-21,-13.87,93.0,106.8,61.8,-.028,-4.77,102.8,107.6,-9.47
308,309,Jacksonville St.,OVC,10-21,-14.04,98.2,112.3,60.6,-.015,-4.94,103.8,108.7,-4.39
309,310,McNeese St.,Slnd,11-20,-14.07,97.9,112.0,65.8,+.041,-3.04,103.7,106.8,+15.05
310,311,Northern Kentucky,ASun,9-21,-14.08,102.7,116.8,61.1,-.044,-6.64,101.8,108.4,-3.69
311,312,Southeastern Louisiana,Slnd,12-18,-14.15,98.7,112.8,63.2,+.003,-8.51,101.0,109.5,+0.22
312,313,UTSA,CUSA,8-22,-14.68,100.9,115.6,66.5,+.000,-1.79,103.2,105.0,-3.21
313,314,St. Francis PA,NEC,10-21,-14.76,96.4,111.1,61.1,+.038,-4.54,103.4,107.9,-1.38
314,315,UNC Greensboro,SC,14-18,-15.00,93.9,108.9,68.8,+.068,-7.50,101.8,109.3,-1.74
315,316,UC Davis,BW,9-22,-15.16,101.3,116.4,64.8,+.035,-2.72,103.9,106.6,-4.98
316,317,New Orleans,Slnd,11-15,-15.25,96.1,111.4,70.1,+.065,-5.98,102.9,108.9,+14.17
317,318,Tennessee Martin,OVC,8-23,-15.40,103.2,118.6,67.4,-.065,-5.80,103.3,109.1,-3.45
318,319,LIU Brooklyn,NEC,9-20,-15.55,103.0,118.6,66.4,+.077,-4.62,102.1,106.7,-1.58
319,320,Delaware St.,MEAC,9-21,-15.63,97.1,112.7,58.3,-.063,-7.65,99.8,107.4,+4.94
320,321,Samford,SC,13-20,-15.64,100.9,116.6,65.3,+.011,-7.46,101.4,108.8,-1.70
321,322,UMass Lowell,AE,10-18,-16.04,95.3,111.4,62.7,+.063,-4.17,101.7,105.9,+4.91
322,323,UMBC,AE,9-21,-16.07,92.6,108.7,66.6,-.003,-6.55,100.7,107.2,-2.57
323,324,Alcorn St.,SWAC,12-19,-16.47,93.4,109.8,62.0,-.013,-9.32,99.5,108.9,+6.45
324,325,Prairie View A&M,SWAC,11-23,-16.86,96.1,113.0,65.9,+.005,-8.28,100.0,108.3,+8.77
325,326,Arkansas Pine Bluff,SWAC,13-18,-17.01,91.7,108.7,65.0,+.089,-7.26,100.4,107.7,+12.22
326,327,Campbell,BSth,12-20,-17.42,98.5,115.9,61.9,+.059,-7.63,102.6,110.3,-3.55
327,328,New Hampshire,AE,6-24,-17.67,88.7,106.4,61.2,-.086,-5.82,101.3,107.2,-1.75
328,329,Central Arkansas,Slnd,8-21,-17.82,95.3,113.1,70.7,-.009,-5.95,102.8,108.8,+0.51
329,330,IUPUI,Sum,6-26,-18.16,96.2,114.3,64.2,-.037,-0.74,105.3,106.0,-1.15
330,331,Appalachian St.,SC,9-21,-18.63,92.0,110.7,64.7,-.033,-7.65,102.0,109.7,+3.40
331,332,Howard,MEAC,8-25,-18.88,87.7,106.6,65.9,-.027,-4.05,102.8,106.8,+5.44
332,333,Binghamton,AE,7-23,-19.39,91.7,111.1,64.2,-.018,-6.61,100.9,107.5,-2.77
333,334,North Carolina A&T,MEAC,9-23,-19.56,93.7,113.3,65.3,+.036,-7.64,99.4,107.1,+0.24
334,335,Stetson,ASun,7-24,-20.02,94.5,114.5,61.3,+.032,-5.38,102.7,108.0,-2.40
335,336,Maryland Eastern Shore,MEAC,6-24,-20.22,99.1,119.3,65.1,-.036,-7.27,99.8,107.1,+0.93
336,337,Bethune Cookman,MEAC,7-25,-20.31,96.5,116.8,60.7,-.061,-6.73,100.4,107.1,+0.62
337,338,Kennesaw St.,ASun,6-25,-20.32,92.0,112.3,66.0,+.003,-4.51,103.5,108.1,+0.88
338,339,Maine,AE,6-23,-20.55,95.5,116.0,73.0,+.010,-5.16,101.1,106.2,+1.03
339,340,Cornell,Ivy,2-26,-20.58,100.4,120.9,63.6,-.048,+1.40,104.9,103.5,+1.19
340,341,Houston Baptist,Slnd,6-25,-20.66,91.5,112.2,67.6,-.038,-5.56,103.2,108.8,+4.52
341,342,Furman,SC,9-21,-20.69,94.9,115.6,63.7,-.002,-8.06,101.1,109.2,-2.87
342,343,Lamar,Slnd,4-26,-20.71,93.1,113.8,66.5,-.034,-6.51,102.4,108.9,-1.96
343,344,South Carolina St.,MEAC,9-21,-21.14,91.5,112.7,64.6,+.042,-6.65,100.2,106.9,+2.17
344,345,The Citadel,SC,7-26,-22.24,96.3,118.5,63.5,-.046,-6.98,101.5,108.5,-0.59
345,346,Longwood,BSth,8-24,-22.88,95.6,118.5,66.6,-.043,-5.57,103.4,108.9,+2.38
346,347,Mississippi Valley St.,SWAC,9-23,-22.93,93.0,115.9,70.9,+.012,-8.65,98.8,107.4,+6.21
347,348,Abilene Christian,Slnd,11-20,-23.35,94.0,117.3,63.2,-.045,-2.67,104.7,107.4,+13.38
348,349,Presbyterian,BSth,6-26,-25.87,94.2,120.0,63.5,-.017,-7.84,101.7,109.6,-7.05
349,350,Grambling St.,SWAC,5-24,-26.60,95.5,122.1,66.0,-.017,-9.05,98.7,107.8,+6.51
350,351,Southern Utah,BSky,2-27,-27.14,87.4,114.6,64.2,-.049,-4.02,104.7,108.7,+7.40
